experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7540983606557377,0.7284382284382285,0.7832167832167831,0.7234954372539959,0.6511627906976745,0.6666666666666666,0.6363636363636364,0.8205128205128205,14,7,32,8,1
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7166666666666667,0.680622009569378,0.7607655502392344,0.6649707539735514,0.5853658536585366,0.631578947368421,0.5454545454545454,0.8157894736842105,12,7,31,10,2
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7833333333333333,0.742822966507177,0.7727272727272727,0.713205429318573,0.6666666666666666,0.7647058823529411,0.5909090909090909,0.8947368421052632,13,4,34,9,3
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6833333333333333,0.6351674641148325,0.7751196172248804,0.6199697285651211,0.5128205128205128,0.5882352941176471,0.45454545454545453,0.8157894736842105,10,7,31,12,4
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6166666666666667,0.5825358851674641,0.6746411483253589,0.5571470770839994,0.46511627906976744,0.47619047619047616,0.45454545454545453,0.7105263157894737,10,11,27,12,5
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7213114754098361,0.7027972027972028,0.7738927738927739,0.6776360392410475,0.6222222222222222,0.6086956521739131,0.6363636363636364,0.7692307692307693,14,9,30,8,6
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6666666666666666,0.5933014354066986,0.6578947368421053,0.5303522987679173,0.4117647058823529,0.5833333333333334,0.3181818181818182,0.868421052631579,7,5,33,15,7
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6666666666666666,0.6124401913875598,0.7177033492822966,0.5649081796717881,0.47368421052631576,0.5625,0.4090909090909091,0.8157894736842105,9,7,31,13,8
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7333333333333333,0.6842105263157895,0.8600478468899522,0.7902075653866736,0.5789473684210527,0.6875,0.5,0.868421052631579,11,5,33,11,9
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6333333333333333,0.6052631578947368,0.6961722488038278,0.549092134052643,0.5,0.5,0.5,0.7105263157894737,11,11,27,11,10
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6721311475409836,0.6048951048951049,0.703962703962704,0.6204257908576026,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.8461538461538461,8,6,33,14,11
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7666666666666667,0.7488038277511961,0.75,0.6173389032635892,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,12
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7166666666666667,0.6614832535885168,0.7165071770334928,0.5636871913770063,0.5405405405405406,0.6666666666666666,0.45454545454545453,0.868421052631579,10,5,33,12,13
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.6666666666666666,0.6220095693779905,0.6913875598086126,0.6284901188067648,0.5,0.5555555555555556,0.45454545454545453,0.7894736842105263,10,8,30,12,14
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500,,0.5,0.7166666666666667,0.6519138755980861,0.7799043062200958,0.6905756904287671,0.5142857142857142,0.6923076923076923,0.4090909090909091,0.8947368421052632,9,4,34,13,15
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.45,0.7213114754098361,0.7226107226107226,0.7832167832167831,0.7234954372539959,0.6530612244897959,0.5925925925925926,0.7272727272727273,0.717948717948718,16,11,28,6,1
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.35,0.65,0.6949760765550239,0.7607655502392344,0.6649707539735514,0.6440677966101694,0.5135135135135135,0.8636363636363636,0.5263157894736842,19,18,20,3,2
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.5,0.7833333333333333,0.742822966507177,0.7727272727272727,0.713205429318573,0.6666666666666666,0.7647058823529411,0.5909090909090909,0.8947368421052632,13,4,34,9,3
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.35,0.7166666666666667,0.757177033492823,0.7751196172248804,0.6199697285651211,0.7017543859649122,0.5714285714285714,0.9090909090909091,0.6052631578947368,20,15,23,2,4
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.225,0.5,0.6052631578947368,0.6746411483253589,0.5571470770839994,0.5945945945945946,0.4230769230769231,1.0,0.21052631578947367,22,30,8,0,5
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.45,0.7213114754098361,0.7424242424242424,0.7738927738927739,0.6776360392410475,0.6792452830188679,0.5806451612903226,0.8181818181818182,0.6666666666666666,18,13,26,4,6
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.275,0.55,0.6255980861244019,0.6578947368421053,0.5303522987679173,0.5970149253731343,0.4444444444444444,0.9090909090909091,0.34210526315789475,20,25,13,2,7
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.4,0.65,0.6854066985645934,0.7177033492822966,0.5649081796717881,0.631578947368421,0.5142857142857142,0.8181818181818182,0.5526315789473685,18,17,21,4,8
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.4,0.7666666666666667,0.7870813397129186,0.8600478468899522,0.7902075653866736,0.7307692307692307,0.6333333333333333,0.8636363636363636,0.7105263157894737,19,11,27,3,9
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.4,0.6833333333333333,0.7021531100478469,0.6961722488038278,0.549092134052643,0.6415094339622641,0.5483870967741935,0.7727272727272727,0.631578947368421,17,14,24,5,10
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.3,0.5901639344262295,0.6497668997668997,0.703962703962704,0.6204257908576026,0.6031746031746031,0.4634146341463415,0.8636363636363636,0.4358974358974359,19,22,17,3,11
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.5,0.7666666666666667,0.7488038277511961,0.75,0.6173389032635892,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,12
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.35,0.6666666666666666,0.7272727272727273,0.7165071770334928,0.5636871913770063,0.6774193548387096,0.525,0.9545454545454546,0.5,21,19,19,1,13
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.35,0.5666666666666667,0.638755980861244,0.6913875598086126,0.6284901188067648,0.6060606060606061,0.45454545454545453,0.9090909090909091,0.3684210526315789,20,24,14,2,14
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500,,0.4,0.7333333333333333,0.7511961722488039,0.7799043062200958,0.6905756904287671,0.6923076923076923,0.6,0.8181818181818182,0.6842105263157895,18,12,26,4,15
xgboost_pca10_t0_only,t0_only,xgboost,pca,default_0.5,,10,0.5,0.6065573770491803,0.5536130536130537,0.6818181818181819,0.6099670224928949,0.4,0.4444444444444444,0.36363636363636365,0.7435897435897436,8,10,29,14,1
xgboost_pca10_t0_only,t0_only,xgboost,pca,default_0.5,,10,0.5,0.7666666666666667,0.729665071770335,0.7811004784688995,0.7419921315422666,0.65,0.7222222222222222,0.5909090909090909,0.868421052631579,13,5,33,9,2
xgboost_pca10_t0_only,t0_only,xgboost,pca,default_0.5,,10,0.5,0.6333333333333333,0.5956937799043062,0.6519138755980861,0.5441744550984913,0.47619047619047616,0.5,0.45454545454545453,0.7368421052631579,10,10,28,12,3
xgboost_pca10_t0_only,t0_only,xgboost,pca,default_0.5,,10,0.5,0.6833333333333333,0.6543062200956937,0.6674641148325359,0.6744432306865278,0.5581395348837209,0.5714285714285714,0.5454545454545454,0.7631578947368421,12,9,29,10,4
