experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8166666666666667,0.8265550239234449,0.9318181818181819,0.9234591522494833,0.7755102040816326,0.7037037037037037,0.8636363636363636,0.7894736842105263,19,8,30,3,15
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8032786885245902,0.8164335664335665,0.8881118881118881,0.8817239438089137,0.76,0.6785714285714286,0.8636363636363636,0.7692307692307693,19,9,30,3,1
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8333333333333334,0.8397129186602871,0.8947368421052632,0.9015378767774156,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,2
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8333333333333334,0.8492822966507176,0.8851674641148326,0.8555476282091112,0.8,0.7142857142857143,0.9090909090909091,0.7894736842105263,20,8,30,2,3
pls20_logreg_t0_only,t0_only,pls20_logreg,0.7833333333333333,0.7811004784688995,0.8528708133971292,0.8045208427483239,0.723404255319149,0.68,0.7727272727272727,0.7894736842105263,17,8,30,5,4
pls20_logreg_t0_only,t0_only,pls20_logreg,0.85,0.8624401913875598,0.9126794258373206,0.8778163457299832,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.8157894736842105,20,7,31,2,5
pls20_logreg_t0_only,t0_only,pls20_logreg,0.7704918032786885,0.780885780885781,0.8461538461538461,0.8158136908713156,0.72,0.6428571428571429,0.8181818181818182,0.7435897435897436,18,10,29,4,6
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8166666666666667,0.8169856459330144,0.9150717703349283,0.9019088789481637,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,7
pls20_logreg_t0_only,t0_only,pls20_logreg,0.7833333333333333,0.7715311004784688,0.8624401913875598,0.8359198118428097,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.8157894736842105,16,7,31,6,8
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8166666666666667,0.8074162679425837,0.8827751196172249,0.8783318298382456,0.7555555555555555,0.7391304347826086,0.7727272727272727,0.8421052631578947,17,6,32,5,9
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8333333333333334,0.8397129186602871,0.9186602870813397,0.8826173434051343,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,10
pls20_logreg_t0_only,t0_only,pls20_logreg,0.6557377049180327,0.6118881118881119,0.7785547785547786,0.7036757151552235,0.4878048780487805,0.5263157894736842,0.45454545454545453,0.7692307692307693,10,9,30,12,11
pls20_logreg_t0_only,t0_only,pls20_logreg,0.7833333333333333,0.7811004784688995,0.9031100478468899,0.8607263233687517,0.723404255319149,0.68,0.7727272727272727,0.7894736842105263,17,8,30,5,12
pls20_logreg_t0_only,t0_only,pls20_logreg,0.7333333333333333,0.770334928229665,0.8947368421052632,0.8738985613211776,0.7142857142857143,0.5882352941176471,0.9090909090909091,0.631578947368421,20,14,24,2,13
pls20_logreg_t0_only,t0_only,pls20_logreg,0.75,0.7834928229665072,0.8827751196172249,0.8397692719466912,0.7272727272727273,0.6060606060606061,0.9090909090909091,0.6578947368421053,20,13,25,2,14
pls20_logreg_t0_only,t0_only,pls20_logreg,0.8166666666666667,0.8265550239234449,0.9330143540669855,0.9231453753582939,0.7755102040816326,0.7037037037037037,0.8636363636363636,0.7894736842105263,19,8,30,3,15
pls2_logreg_t1_only,t1_only,pls2_logreg,0.8524590163934426,0.8449883449883451,0.8741258741258742,0.7639697976103729,0.8,0.782608695652174,0.8181818181818182,0.8717948717948718,18,5,34,4,1
pls2_logreg_t1_only,t1_only,pls2_logreg,0.7333333333333333,0.7320574162679425,0.7703349282296651,0.7022933170271151,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7368421052631579,16,10,28,6,2
